cbsa15,cbsaname15,pop_acs16,median_age,in_migration_from_diff_msa,per_capita_income,aggr_income_billion,percent_in_labor_force,percent_employed,income_above_poverty_line,households_not_receiving_food_stamp_snap,bachelors_degree_or_higher,internet_subscription,broadband_subscription,research_universities,male_female_ratio,gmp_billion_usd,cagr01to15,cagr10to15,inc5000_count,inc5000_per1M,fortune1000_count,fortune1000_per1M,restaurants_count,restaurants_per10K,gini,patents_count,patents_per10K,fips_state,state_abbr,state_name,census_region,lon,lat,unicorns_count,unicorns_per1M
10180,"Abilene, TX Metro Area",170860,34.4,0.06,22678,3.87,0.57,0.96,0.83,0.87,0.2,0.73,0.61,0,1.05,6.2,0.019980023,0.02846873,2,12,0,0,83,4.9,0.46,70,4,48,TX,Texas,South,-99.747195,32.452109,0,0
10420,"Akron, OH Metro Area",702221,40.2,0.03,29318,20.59,0.63,0.95,0.86,0.87,0.33,0.8,0.67,2,0.95,31.2,0.011412005,0.018356835,45,64,14,20,430,6.1,0.46,5288,75,39,OH,Ohio,Midwest,-81.457919,41.128225,0,0
10500,"Albany, GA Metro Area",152506,36.4,0.04,22635,3.45,0.6,0.9,0.75,0.76,0.19,0.74,0.53,0,0.9,4.5,-0.010830427,-0.011714027,0,0,0,0,79,5.1,0.5,111,7,13,GA,Georgia,South,-84.14784,31.593555,0,0
10540,"Albany, OR Metro Area",122849,39.4,0.05,26902,3.3,0.57,0.93,0.88,0.82,0.23,0.81,0.65,0,0.99,3.2,0.008247095,0.015170274,0,0,0,0,83,7,0.42,0,0,41,OR,Oregon,West,-122.959647,44.554622,0,0
10580,"Albany-Schenectady-Troy, NY Metro Area",881839,39.8,0.04,34779,30.67,0.66,0.95,0.9,0.89,0.4,0.85,0.74,2,0.96,45.3,0.012003765,0.011653037,41,47,7,8,780,8.9,0.43,10852,123,36,NY,New York,Northeast,-73.819697,42.787795,0,0
10740,"Albuquerque, NM Metro Area",913924,37.9,0.03,27324,24.97,0.61,0.94,0.83,0.84,0.31,0.79,0.63,1,0.97,38.7,0.012085374,0.000150082,24,27,9,10,490,5.4,0.47,3823,42,35,NM,New Mexico,West,-106.620656,35.105462,0,0
10780,"Alexandria, LA Metro Area",154789,37.7,0.03,23962,3.71,0.56,0.94,0.8,0.82,0.2,0.73,0.55,0,1,4.7,0.006879985,-0.029161011,0,0,0,0,57,3.7,0.46,89,6,22,LA,Louisiana,South,-92.469814,31.320752,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",835652,41.1,0.04,32265,26.96,0.65,0.94,0.88,0.88,0.31,0.83,0.72,1,0.97,33.4,0.008903087,0.014375058,30,36,8,10,623,7.5,0.44,5073,61,42,PA,Pennsylvania,Northeast,-75.391297,40.683247,0,0
11020,"Altoona, PA Metro Area",124650,43.8,0.04,24821,3.09,0.58,0.95,0.87,0.84,0.22,0.75,0.63,0,0.96,4.5,0.006726191,0.00448348,2,16,0,0,95,7.5,0.44,112,9,42,PA,Pennsylvania,Northeast,-78.377158,40.48552,0,0
11100,"Amarillo, TX Metro Area",263491,34.8,0.02,28376,7.48,0.65,0.97,0.85,0.88,0.23,0.8,0.62,0,1,10.9,0.020455532,0.01543428,2,8,0,0,182,7,0.46,212,8,48,TX,Texas,South,-101.850365,35.177452,0,0
11180,"Ames, IA Metro Area",97090,26.9,0.11,27937,2.71,0.69,0.95,0.78,0.93,0.57,0.77,0.65,1,1.05,4.3,0.017714167,-0.006734467,5,53,0,0,65,6.9,0.46,1025,109,19,IA,Iowa,Midwest,-93.601828,42.026371,0,0
11260,"Anchorage, AK Metro Area",402557,33.3,0.03,36479,14.69,0.71,0.93,0.93,0.91,0.32,0.91,0.78,0,1.06,26.6,0.022116492,-0.000891474,6,15,0,0,282,7.1,0.42,403,10,2,AK,Alaska,West,-149.706356,61.290161,0,0
11460,"Ann Arbor, MI Metro Area",364709,33.5,0.08,38196,13.93,0.64,0.96,0.85,0.92,0.56,0.89,0.76,2,0.98,19.2,0.002777054,0.001854406,36,101,8,22,266,7.5,0.48,7928,222,26,MI,Michigan,Midwest,-83.727176,42.256944,0,0
11500,"Anniston-Oxford-Jacksonville, AL Metro Area",114611,39.1,0.03,23818,2.73,0.56,0.91,0.84,0.86,0.17,0.72,0.54,0,0.94,3.4,0.006451007,-0.022369899,0,0,0,0,77,6.6,0.45,80,7,1,AL,Alabama,South,-85.819404,33.72546,0,0
11540,"Appleton, WI Metro Area",234079,38.8,0.04,32160,7.53,0.72,0.97,0.92,0.93,0.3,0.86,0.73,0,1,11,0.012902313,0.019385482,10,43,2,9,205,8.9,0.4,2184,94,55,WI,Wisconsin,Midwest,-88.369973,44.274723,0,0
11700,"Asheville, NC Metro Area",452319,44.5,0.04,29029,13.13,0.59,0.96,0.87,0.9,0.34,0.77,0.61,0,0.93,15,0.016940811,0.011452051,17,38,1,2,427,9.7,0.46,859,19,37,NC,North Carolina,South,-82.589057,35.528291,0,0
12020,"Athens-Clarke County, GA Metro Area",206360,31.8,0.1,25980,5.36,0.62,0.95,0.79,0.86,0.38,0.79,0.68,1,0.96,7.2,0.013545811,0.015077362,6,30,0,0,140,7,0.51,616,31,13,GA,Georgia,South,-83.355274,33.95751,0,0
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5790210,36.2,0.03,32055,185.6,0.67,0.95,0.87,0.88,0.39,0.86,0.73,7,0.93,303.9,0.013353032,0.022108424,666,119,79,14,3969,7.1,0.47,22970,41,13,GA,Georgia,South,-84.346401,33.81922,1,0.18
12100,"Atlantic City-Hammonton, NJ Metro Area",270991,40.6,0.03,29158,7.9,0.64,0.89,0.86,0.84,0.29,0.8,0.7,0,0.94,11.8,-0.009083137,-0.019828003,5,18,0,0,331,12,0.46,237,9,34,NJ,New Jersey,Northeast,-74.583545,39.427563,0,0
12220,"Auburn-Opelika, AL Metro Area",158991,31,0.09,25081,3.99,0.62,0.94,0.81,0.9,0.37,0.83,0.67,1,0.99,4.4,0.03221212,0.028238071,2,13,0,0,106,6.9,0.5,359,23,1,AL,Alabama,South,-85.345889,32.588093,0,0
12260,"Augusta-Richmond County, GA-SC Metro Area",595147,37.6,0.04,25058,14.91,0.59,0.92,0.82,0.84,0.25,0.77,0.6,1,0.95,19.8,0.004046897,0.004327967,5,9,0,0,347,5.9,0.47,740,13,13,GA,Georgia,South,-82.009236,33.484227,0,0
12420,"Austin-Round Rock, TX Metro Area",2056405,34.4,0.05,36708,75.49,0.71,0.95,0.89,0.93,0.43,0.87,0.74,2,1,110.7,0.044732291,0.050768899,298,153,6,3,1370,7,0.47,33753,174,48,TX,Texas,South,-97.739188,30.324952,1,0.51
12540,"Bakersfield, CA Metro Area",884788,31.3,0.04,21313,18.86,0.59,0.89,0.77,0.81,0.16,0.8,0.6,0,1.05,32.5,0.030273113,0.013594552,22,25,0,0,400,4.6,0.46,978,11,6,CA,California,West,-118.936207,35.372968,0,0
12580,"Baltimore-Columbia-Towson, MD Metro Area",2798886,38.3,0.03,38406,107.49,0.67,0.95,0.9,0.88,0.42,0.86,0.74,3,0.93,162.4,0.018002706,0.014393715,237,85,26,9,1525,5.5,0.46,10637,38,24,MD,Maryland,South,-76.62769,39.298383,0,0
12620,"Bangor, ME Metro Area",151806,42,0.04,26306,3.99,0.62,0.93,0.85,0.83,0.27,0.83,0.71,1,0.97,5.2,0.000588855,-0.002463084,0,0,0,0,111,7.2,0.45,184,12,23,ME,Maine,Northeast,-68.793837,44.953036,0,0
12700,"Barnstable Town, MA Metro Area",214276,53.1,0.03,40874,8.76,0.59,0.95,0.94,0.92,0.39,0.87,0.78,0,0.91,9.7,0.004205469,0.015529688,7,33,0,0,432,20.1,0.46,677,32,25,MA,Massachusetts,Northeast,-70.333834,41.690217,0,0
12940,"Baton Rouge, LA Metro Area",835175,35.1,0.03,29027,24.24,0.63,0.94,0.83,0.83,0.28,0.8,0.65,1,0.97,45.6,0.027868949,0.011159372,40,48,5,6,435,5.3,0.47,1359,16,22,LA,Louisiana,South,-91.058822,30.45684,0,0
12980,"Battle Creek, MI Metro Area",134386,39.6,0.03,25252,3.39,0.59,0.94,0.83,0.87,0.2,0.78,0.58,0,0.94,5.1,0.003011428,-0.005623781,1,7,2,15,88,6.5,0.45,329,24,26,MI,Michigan,Midwest,-85.10189,42.289509,0,0
13020,"Bay City, MI Metro Area",104747,43.1,0.01,25427,2.66,0.6,0.93,0.84,0.83,0.2,0.82,0.66,0,0.99,2.8,-0.003948483,-0.009353222,0,0,0,0,65,6.1,0.44,328,31,26,MI,Michigan,Midwest,-83.928441,43.630575,0,0
13140,"Beaumont-Port Arthur, TX Metro Area",409901,36.7,0.04,26497,10.86,0.57,0.95,0.83,0.87,0.17,0.7,0.52,1,1.02,20.4,0.025798447,0.011458209,6,15,0,0,190,4.7,0.48,337,8,48,TX,Texas,South,-94.042609,30.098666,0,0
13220,"Beckley, WV Metro Area",120924,43,0.02,22869,2.77,0.52,0.92,0.84,0.8,0.2,0.74,0.63,0,0.98,4.3,0.010005094,0.001554338,1,8,0,0,78,6.3,0.45,0,0,54,WV,West Virginia,South,-81.177436,37.867162,0,0
13380,"Bellingham, WA Metro Area",216800,37,0.06,28261,6.13,0.63,0.93,0.84,0.85,0.32,0.88,0.75,0,0.98,8.3,0.02161107,-0.011367906,9,43,0,0,187,9,0.45,619,30,53,WA,Washington,West,-122.485377,48.820553,0,0
13460,"Bend-Redmond, OR Metro Area",181307,41.8,0.07,31790,5.76,0.63,0.95,0.89,0.85,0.32,0.87,0.71,0,0.99,6.6,0.022848886,0.025811797,9,53,0,0,173,10.2,0.47,686,40,41,OR,Oregon,West,-121.305498,44.092071,0,0
13740,"Billings, MT Metro Area",169736,40.3,0.02,31978,5.43,0.66,0.97,0.93,0.93,0.33,0.83,0.69,0,0.99,8.8,0.028785211,0.041382821,3,18,0,0,133,8,0.46,140,8,30,MT,Montana,West,-108.577208,45.764276,0,0
13780,"Binghamton, NY Metro Area",244094,40.5,0.03,27610,6.74,0.57,0.93,0.84,0.83,0.3,0.82,0.7,1,0.97,8.5,0.009454481,-0.006862348,6,24,0,0,208,8.4,0.45,2481,100,36,NY,New York,Northeast,-76.007945,42.12124,0,0
13820,"Birmingham-Hoover, AL Metro Area",1147417,38.8,0.02,29265,33.58,0.61,0.94,0.86,0.87,0.31,0.79,0.63,1,0.92,57.5,0.00865062,0.020499214,71,62,28,24,634,5.5,0.48,1395,12,1,AL,Alabama,South,-86.784542,33.495986,0,0
13900,"Bismarck, ND Metro Area",131547,36.8,0.01,36531,4.81,0.73,0.98,0.91,0.95,0.32,0.8,0.7,0,1,7.1,0.043371272,0.067853702,5,39,1,8,65,5.1,0.43,131,10,38,ND,North Dakota,Midwest,-100.82884,46.80293,0,0
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",183411,33.8,0.07,28783,5.28,0.59,0.94,0.81,0.92,0.38,0.81,0.6,1,1.01,5.9,0.010372025,0.013874536,5,28,0,0,135,7.4,0.47,1019,56,51,VA,Virginia,South,-80.506787,37.154239,0,0
